ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Family,Subfamily,Macroarea,Latitude,Longitude,Sources,Data_Entry,Consultants
fin,Finnish,finn1318,Finnish,fin,Uralic,Finnic,Eurasia,61,24.45,,Johannes Dellert,
krl,North Karelian,kare1335,Karelian,krl,Uralic,Finnic,Eurasia,65.1691,30.8655,,Johannes Dellert,
olo,Olonets Karelian,livv1243,Livvi,olo,Uralic,Finnic,Eurasia,61,33,,Johannes Dellert,
vep,Veps,veps1250,Veps,vep,Uralic,Finnic,Eurasia,60.3353,34.7865,,Johannes Dellert,
ekk,Estonian,esto1258,Estonian,ekk,Uralic,Finnic,Eurasia,59.25,24.75,,Johannes Dellert,
liv,Livonian,livv1244,Liv,liv,Uralic,Finnic,Eurasia,57.566,22.0262,,Johannes Dellert,
sma,Southern Saami,sout2674,South Saami,sma,Uralic,Saami,Eurasia,64.25,12.6,,Johannes Dellert,
smj,Lule Saami,lule1254,Lule Saami,smj,Uralic,Saami,Eurasia,67.2759,17.8057,,Johannes Dellert,
sme,Northern Saami,nort2671,North Saami,sme,Uralic,Saami,Eurasia,68.725,22.1113,,Johannes Dellert,
smn,Inari Saami,inar1241,Inari Saami,smn,Uralic,Saami,Eurasia,69.4229,27.8658,,Johannes Dellert; Johannes Wahle,
sms,Skolt Saami,skol1241,Skolt Saami,sms,Uralic,Saami,Eurasia,68.8326,29.7204,,Johannes Dellert,
sjd,Kildin Saami,kild1236,Kildin Saami,sjd,Uralic,Saami,Eurasia,68.2158,35.8348,,Johannes Dellert,
mrj,Hill Mari,west2392,Western Mari,mrj,Uralic,Mari,Eurasia,56.33,46.33,,Alina Ladygina,
mhr,Meadow Mari,east2328,Eastern Mari,mhr,Uralic,Mari,Eurasia,57,49.5,,Johannes Dellert,
mdf,Moksha,moks1248,Moksha,mdf,Uralic,Mordvin,Eurasia,54.1855,42.6728,,Johannes Dellert,
myv,Erzya,erzy1239,Erzya,myv,Uralic,Mordvin,Eurasia,53,45.5,,Johannes Dellert,Jack Rueter; Olga Erina; Elena Klementyeva
udm,Udmurt,udmu1245,Udmurt,udm,Uralic,Permian,Eurasia,56.12921,52.63548,,Johannes Dellert,Olga A. Perevozchikova
koi,Komi-Permyak,komi1269,Komi-Permyak,koi,Uralic,Permian,Eurasia,59.6602,54.7959,,Alina Ladygina,
kpv,Komi-Zyrian,komi1268,Komi-Zyrian,kpv,Uralic,Permian,Eurasia,64.0527,54.946,,Johannes Dellert,
hun,Hungarian,hung1274,Hungarian,hun,Uralic,Hungarian,Eurasia,46.9068585714,19.6555271429,,Johannes Dellert,Anna Bródy
kca,Northern Khanty,khan1273,Kazym-Berezover-Suryskarer Khanty,kca,Uralic,Khantyic,Eurasia,62.4308,66.1218,,Johannes Dellert,
mns,Northern Mansi,mans1258,Northern Mansi,mns,Uralic,Mansic,Eurasia,64.4118,61.344,,Johannes Dellert,
sel,Northern Selkup,selk1253,Selkup,sel,Uralic,Samoyedic,Eurasia,59.9409,82.3004,,Johannes Dellert,
yrk,Tundra Nenets,nene1249,Tundra Nenets,yrk,Uralic,Samoyedic,Eurasia,66.1775,71.0234,,Johannes Dellert; Polina Berezovskaya,Matrena I. Taleeva
enf,Forest Enets,fore1265,Forest Enets,enf,Uralic,Samoyedic,Eurasia,69.9829,88.2121,,Alina Ladygina,
nio,Nganasan,ngan1291,Nganasan,nio,Uralic,Samoyedic,Eurasia,73.1354,86.2106,,Johannes Dellert,
san,Sanskrit,sans1269,Sanskrit,san,Indo-European,Indo-Iranian,Eurasia,20,77,,Johannes Dellert,
pli,Pali,pali1273,Pali,pli,Indo-European,Indo-Iranian,Eurasia,24.5271,82.251,,Johannes Dellert,
ben,Bengali,beng1280,Bengali,ben,Indo-European,Indo-Iranian,Eurasia,24,90,biswas1976,Thora Daneyko; Johannes Dellert,
hin,Hindi,hind1269,Hindi,hin,Indo-European,Indo-Iranian,Eurasia,27.2,78,gatzlaffhaelsig2013a;gatzlaffhaelsig2013b,Johannes Dellert,
pbu,Northern Pashto,nort2646,Northern Pashto,pbu,Indo-European,Indo-Iranian,Eurasia,32.1,67.2,,Mohamed Balabel,
pes,Western Farsi,west2369,Western Farsi,pes,Indo-European,Indo-Iranian,Eurasia,28.6593,55.1586,,Johannes Dellert,
kmr,Northern Kurdish,nort2641,Northern Kurdish,kmr,Indo-European,Indo-Iranian,Eurasia,37,43,,Johannes Dellert,Hizniye Isabella Boga
oss,Ossetian,osse1243,Ossetian,oss,Indo-European,Indo-Iranian,Eurasia,43.18,44.23,,Thora Daneyko,
hye,Armenian,nucl1235,Eastern Armenian,hye,Indo-European,Armenic,Eurasia,40,45,,Johannes Dellert,
ell,Modern Greek,mode1248,Modern Greek,ell,Indo-European,Graeco-Phrygian,Eurasia,38,23.75,,Johannes Dellert,
grc,Ancient Greek,anci1242,Ancient Greek,grc,Indo-European,Graeco-Phrygian,Eurasia,39.8155,21.9129,,Johannes Dellert,
sqi,Standard Albanian,alba1267,Albanian,sqi,Indo-European,Albanian,Eurasia,41.33,19.85,,Johannes Dellert,
bul,Bulgarian,bulg1262,Bulgarian,bul,Indo-European,Balto-Slavic,Eurasia,42.7,23.8,,Johannes Dellert,
hrv,Croatian,croa1245,Croatian Standard,hrv,Indo-European,Balto-Slavic,Eurasia,45.2006,16.826,,Johannes Dellert,
slv,Slovenian,slov1268,Slovenian,slv,Indo-European,Balto-Slavic,Eurasia,46.2543,14.7766,,Johannes Dellert,
slk,Slovak,slov1269,Slovak,slk,Indo-European,Balto-Slavic,Eurasia,48.545705,18.78479,,Johannes Dellert,
ces,Czech,czec1258,Czech,ces,Indo-European,Balto-Slavic,Eurasia,49.873398,15.10437,,Johannes Dellert,
hsb,Upper Sorbian,uppe1395,Upper Sorbian,hsb,Indo-European,Balto-Slavic,Eurasia,51.2403,14.4098,,Yuliya Mkhayan,
dsb,Lower Sorbian,lowe1385,Lower Sorbian,dsb,Indo-European,Balto-Slavic,Eurasia,51.6621,13.9407,,Yuliya Mkhayan,
pol,Polish,poli1260,Polish,pol,Indo-European,Balto-Slavic,Eurasia,51.8439,18.6255,,Johannes Dellert,
ukr,Ukrainian,ukra1253,Ukrainian,ukr,Indo-European,Balto-Slavic,Eurasia,50.25,28.65,,Johannes Dellert,Maxim Korniyenko
bel,Belarusian,bela1254,Belarusian,bel,Indo-European,Balto-Slavic,Eurasia,53.2307,25.6038,,Johannes Dellert,
rus,Russian,russ1263,Russian,rus,Indo-European,Balto-Slavic,Eurasia,57.6,39.8,,Johannes Dellert,Igor Yanovich; Alina Ladygina; Alla Münch
lit,Lithuanian,lith1251,Lithuanian,lit,Indo-European,Balto-Slavic,Eurasia,55.1429,23.9601,,Johannes Dellert,Živilė Rasimaitė
lav,Latvian,latv1249,Latvian,lav,Indo-European,Balto-Slavic,Eurasia,56.826108,24.309118,,Johannes Dellert,
isl,Icelandic,icel1247,Icelandic,isl,Indo-European,Germanic,Eurasia,63.4837,-19.0212,,Johannes Dellert,
nob,Norwegian (Bokmål),norw1258,Norwegian,nob,Indo-European,Germanic,Eurasia,59.92,10.71,,Johannes Dellert,
swe,Swedish,swed1254,Swedish,swe,Indo-European,Germanic,Eurasia,59.800634,17.389526,,Johannes Dellert,
dan,Danish,dani1285,Danish,dan,Indo-European,Germanic,Eurasia,55.6,12.5,,Johannes Dellert,
eng,English,stan1293,English,eng,Indo-European,Germanic,Eurasia,53,-1,,Johannes Dellert,
nds,Eastern Low German,nort2627,Eastern Low German,nds,Indo-European,Germanic,Eurasia,53.115373,12.391439,,Rahel Albicker,
nld,Dutch,dutc1256,Dutch,nld,Indo-European,Germanic,Eurasia,52,5,,Johannes Dellert,
ltz,Moselle Franconian,luxe1241,Moselle Franconian,ltz,Indo-European,Germanic,Eurasia,49.6839,6.14931,,Rahel Albicker,
deu,German,stan1295,German,deu,Indo-European,Germanic,Eurasia,52.27,10.5,,Johannes Dellert,Johannes Dellert
gle,Irish,iris1253,Irish,gle,Indo-European,Celtic,Eurasia,53.2186,-7.61509,,Johannes Dellert,
cym,Welsh,wels1247,Welsh,cym,Indo-European,Celtic,Eurasia,52,-4,,Hizniye Isabella Boga; Johannes Dellert,
bre,Breton,bret1244,Breton,bre,Indo-European,Celtic,Eurasia,48.2452,-3.78934,,Armin Buch; Johannes Dellert,
lat,Latin,lati1261,Latin,lat,Indo-European,Italic,Eurasia,41.9026,12.4502,,Johannes Dellert,
ron,Romanian,roma1327,Romanian,ron,Indo-European,Italic,Eurasia,46.3913,24.2256,,Johannes Dellert,
ita,Italian,ital1282,Italian,ita,Indo-European,Italic,Eurasia,43.0464,12.6489,,Johannes Dellert,Marta Berardi
fur,Friulian,friu1240,Friulian,fur,Indo-European,Italic,Eurasia,46.1473,13.0493,,Karina Hensel,
roh,Romansh,roma1326,Romansh,roh,Indo-European,Italic,Eurasia,46.5538,9.92812,,Karina Hensel; Anna Karnysheva,
fra,French,stan1290,French,fra,Indo-European,Italic,Eurasia,48,2,,Johannes Dellert,
cat,Catalan,stan1289,Catalan,cat,Indo-European,Italic,Eurasia,41.453,1.569,,Johannes Dellert,
spa,Spanish,stan1288,Spanish,spa,Indo-European,Italic,Eurasia,42.25,-3.7,,Johannes Dellert,
glg,Galician,gali1258,Galician,glg,Indo-European,Italic,Eurasia,42.2446,-7.5343,,Karina Hensel,
por,Portuguese,port1283,Portuguese,por,Indo-European,Italic,Eurasia,39.91,-8.1,,Johannes Dellert,
chv,Chuvash,chuv1255,Chuvash,chv,Turkic,Bolgar,Eurasia,55.487,47.163,,Roland Mühlenbernd; Thora Daneyko,
tur,Turkish,nucl1301,Turkish,tur,Turkic,Oghuz,Eurasia,39.8667,32.8667,,Johannes Dellert,
azj,North Azerbaijani,nort2697,North Azerbaijani,azj,Turkic,Oghuz,Eurasia,40.4,49.6,,,
kaz,Kazakh,kaza1248,Kazakh,kaz,Turkic,Kipchak,Eurasia,49.8,73.15,,Ilja Grigorjew,
bak,Bashkir,bash1264,Bashkir,bak,Turkic,Kipchak,Eurasia,53.5967,56.5594,,Natalie Clarius,
tat,Tatar,tata1255,Tatar,tat,Turkic,Kipchak,Eurasia,55,50,,Thora Daneyko,
krc,Karachay-Balkar,kara1465,Karachay-Balkar,krc,Turkic,Kipchak,Eurasia,43.565,42.2606,,Maxim Korniyenko,
kum,Kumyk,kumy1244,Kumyk,kum,Turkic,Kipchak,Eurasia,43,47,,Anastasia Buianova; Anna Karnysheva,
nog,Nogai,noga1249,Nogai,nog,Turkic,Kipchak,Eurasia,43.5917,46.6618,,Maxim Korniyenko; Anna Karnysheva,
kaa,Kara-Kalpak,kara1467,Kara-Kalpak,kaa,Turkic,Kipchak,Eurasia,39.98,63.3223,,Maxim Korniyenko,
alt,Southern Altai,sout2694,Southern Altai,alt,Turkic,Kipchak,Eurasia,50.1347,86.8705,,Anna Karnysheva,
uzs,Southern Uzbek,sout2699,Southern Uzbek,uzs,Turkic,Turkestan Turkic,Eurasia,36.6099,60.6907,,Gerhard Jäger; Johannes Dellert,
sah,Sakha,yaku1245,Sakha,sah,Turkic,North Siberian Turkic,Eurasia,62,130,,Ilja Grigorjew,
dlg,Dolgan,dolg1241,Dolgan,dlg,Turkic,North Siberian Turkic,Eurasia,71.1083,94.2936,,Maxim Korniyenko; Anna Karnysheva,
khk,Khalkha Mongolian,halh1238,Khalkha Mongolian,khk,Mongolic,Eastern Mongolic,Eurasia,48.324,106.289,,Johannes Dellert,
